feature,importance
fico_range_low,0.20551060670902502
int_rate,0.15585672784658683
fico_range_high,0.14393840703192123
dti,0.11632779160385914
grade,0.10221854794648998
installment,0.04345353903661156
revol_bal,0.03847280854246544
annual_inc,0.033247656086181
loan_amnt,0.03252736724231611
revol_util,0.031544606478323176
total_acc,0.020872187988832124
open_acc,0.01904578880484971
purpose,0.012814552469711535
mort_acc,0.009870718255145688
inq_last_6mths,0.008536742700298345
home_ownership,0.007668281669739264
verification_status,0.006792584214360035
delinq_2yrs,0.004623041282247589
term,0.004232756340441273
pub_rec_bankruptcies,0.001323424751306928
pub_rec,0.0011218629992880995
